Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
"Mrs Wells is a 53-year-old woman with Type 2 Diabetes and takes Metformin 500mg THREE times a day. She presents to your pharmacy with painful mouth lesions that bleed when she rubs them. Her symptoms began 10 days ago and she has noticed that the number of lesions  and pain have increased. On examination, you see a number of white patches on her tongue.

Which of the following is the most appropriate action for you to take?",Advise Mrs Wells she is experiencing recognised side effects of her medication and that she can take paracetamol for fer pain.,"Advise her to use Bonjela oral gel and to apply it to the lesions up to 8 times a day
",Advise Mrs H that she is suffering from mouth ulcers and using an antibacterial mouthwash may help,Sell her Nystatin oral suspension and advise her to apply 1mL to the lesion FOUR times a day for 7 days, Advise Mrs H to see her GP as her medication may need to be reviewed,E,Mrs Wells has mouth ulcers which are not a side effect of metformin and could be serious.
"Ms Denns, a 25-year-old woman was recently diagnose with hypothyroidism. She comes to your pharmacy with a prescription for levothyroxine 50mcg daily. Which of the options below is the least appropriate advice to give Ms Denns taking the levothyroxine tablets?",Antacids should not be taken at the same time as levothyroxine,You should wait at least 30 minutes after taking your levothyroxine tablets before you drink coffee or tea,"If you are taking iron supplements, you should leave a 2-hour gap between taking iron and levothyroxine",Calcium salts can reduce the absorption of levothyroxine,Levothyroxine is best taken in the morning with breakfast,E,"Options A, B, C, and D are all appropriate advice and address relevant interactions that can affect affect levothyroxine absorption. 
Option E is wrong as as although it is recommended to take levothyroxine on an empty stomach, patients may prefer to take it with food to avoid gastrointestinal side effects."
"Mrs Cowel's doctor thinks she may be at risk of Type 2 diabetes and that  a blood test should be taken to see what her HbA1C levels are.

Which of the following HbA1C values would indicate a diagnosis of type 2 diabetes?",49 mmol/mol,"45 mmol/mol
",43 mmol/mol,41 mmol/mol,"40 mmol/mol
",A,"HbA1C values between 42-47 mmol/mol (5.5-6.4%) indicate prediabetes, and values below 42 mmol/mol (5.5%) are considered normal levels. Any value above 48mmol/mol indicates Type 2 Diabetes."
"Ms Hope takes regular oral hydrocortisone as she has been recently diagnosed with Addison’s disease. You have been asked to counsel her on the use of steroids.

Which of these is not a recognised side effect of corticosteroid therapy?
",Hypoglycaemia,"Diabetes
",Hypertension,Osteoporosis,Weight gain,A,Corticosteroid therapy lead to hyperglycaemia from insulin resistance
"Mrs Brompson is 63-years-old and has taken Pioglitazone 20mg daily for the last 12 weeks alongside her regular dose of Gliclazide 40mg once daily. She comes to your pharmacy feeling really tired, experiencing abdominal pain and thinks her urine is darker. She also tells you she was feeling sick yesterday.

Which of the following is the most appropriate advice to give Mrs Brompson?",She should see the GP as the dose of pioglitazone may need to be reduced,She should see the GP as the dose of pioglitazone may need to be increased,The symptoms described are not known to be caused by pioglitazone,Stop taking pioglitazone straight away and see her GP as soon as possible,She is experiencing a side-effect of pioglitazone and whilst safe to continue taking it she may wish to see her GP for an alternative,D,"The European Medicines Agency advise that pioglitazone use is associated with a small increased risk of bladder cancer. Patients already taking pioglitazone should be assessed bladder cancer risk factors and treatment should be reviewed after 3-6 months. Patients should be advised to promptly report symptoms of haematuria, dysuria, or urinary urgency during treatment."
"You are an independent prescriber at a diabetic clinic. Ms Lee was recently diagnosed with gestational diabetes. Unfortunately she did not respond adequately to two weeks energy and carbohydrate intake restriction and an increase in physical activity. Her fasting blood glucose is 6.1 mmol/L.

Which of the following is most appropriate advice for this patient?
", Ms P should be initiated on Metformin,Ms P should be initiated on insulin,"Ms P should be initiated on Gliclazide
",Offer no treatment and refer Ms P to a dietician,"Offer no treatment and advise Ms P to continue with a healthy diet during pregnancy and emphasise to eat foods with a low glycaemic index.
",E,"First-line management for women with gestational diabetes who have a fasting plasma glucose below 7 mmol/L at diagnosis, is a change in diet and exercise alone. If blood-glucose targets are not achieved within 1 to 2 weeks, metformin hydrochloride can be prescribed although it is currently unlicensed for this use. Insulin also be prescribed if metformin is contraindicated or not tolerated, and can be added to treatment if metformin alone is not effective."
"Miss Garving presents to your pharmacy wanting to buy a tanning lotion before he trip to the Caribbean. You look over her records and note that one of her drugs causes phototoxicity.

Which of the following is the most likely to cause this effect?
","Propranolol
",Doxycycline,"Lisinopril
",Simvastatin,Lactulose,B,Doxycycline can cause photosensitivity reactions and it is important to avoid direct sunlight and ensure adequate sun protection.
"Mrs Kings weighs 60kg and has been prescribed Gentamicin 5mg/kg once daily. 80mg/2mL Gentamicin injections are available on the ward in 2mL ampoules.

How many ampoules will be required to make up the prescribed dose?",3,4,5,6,8,B,"The total dose of gentamicin needed:
5 mg/kg x 60 kg = 300 mg
Calculate the volume of gentamicin needed:
Volume = Total dose / Concentration
300 mg / 80 mg/2 mL = 7.5 mL 
Each ampoule contains 2 mL of gentamicin so we need to divide the volume needed by 2 to get the number of ampoules required:
Number of ampoules = Volume needed / 2
7.5 mL / 2 mL = 3.75
Round this up to the nearest whole number, which is 4."
"Mr Tallows was admitted to hospital with a lower respiratory tract infection. He is awaiting microbiology results on his sputum and an atypical pathogen cause is not suspected.

Which of the pathogens below is most likely cause of the respiratory tract infection?",Clostridium botulinum,Legionella pneumophillia,"Mycoplasma pneumoniae
","Mycobacterium tuberculosis
",Streptococcus pneumoniae,E,Streptococcus pneumoniae is the most common cause of lower respiratory tract infections. Mycoplasma pneumoniae is also a common cause however this is an atypical pathogen.
"Mr Handley has a prescription for rifampicin, isoniazid, pyrazinamide ethambutol and pyridoxine. He is aware that rifampicin, ethambutol, isoniazid and pyrazinamide are antibiotics but has not been told why he was given pyridoxine (Vitamin B). You explain that the pyridoxine is to prevent a certain side effect.

Which one of the below adverse effects of isoniazid can is pyridoxine prohylaxis for?",Peripheral neuropathy,Hepatitis,Vomiting,Blood disorders,"Skin rash
",A,"Pyridoxine is co-prescribed with isoniazid to prevent isoniazid-induced neuropathy, a common side effect of isoniazid."
"Mrs Burrows is having an acute pyelonephritis and is being treated with an intravenous infusion of gentamicin given once daily. She had her first dose 21 hours ago and her next is due in 3 hours.

Which tests should be performed 18-24 hours after the first dose of gentamicin?
",C-reactive protein concentration, Audiometry,"Serum creatinine concentration
",Serum gentamicin concentration,Estimated glomerular filtration rate,D,"For once daily dosing, gentamicin levels should be checked 20 hours post dose. The level should be below 1mg/L before the next dose can be administered."
"35-year-old Ms Leyton comes into your pharmacy with muscle aches and abdominal pain starting last night. She also mentions she has experienced a burning sensation when passing urine, cloudy urine, and that she has been having a strong and frequent urge to urinate.

What is the most likely cause of Ms Leyton's symptoms?
", Pyelonephritis,"Schistosomiasis
",Gonorrhoea,Chlamydia,Urinary tract infection,E,"These symptoms are classic of a urinary tract infection.
"
"Mrs Debbings has a urinary tract infection. Her past medical history consists of rheumatoid arthritis and hypothyroidism. She also has a  severe flucloxacillin allergy. She currently takes levothyroxine 125mcg with 100mcg, folic acid 5mg on alternate days and a once weekly methotrexate 20mg injection.

What would be the most suitable therapy to treat Mrs Debbings' ymptoms?","Cefuroxime
",Amoxicillin,"Co-amoxiclav
","Trimethoprim
",Nitrofurantoin,E,"She has a penicillin allergy and cannot have amoxicillin or co-amoxiclav. Trimethoprim and nitrofurantoin are first line for uncomplicated urinary tract infections, however she is using methotrexate which is a folate antagonist so she cannot use trimethoprim which is also a folate antagonist. Trimethoprim is predicted to increase the risk of side-effects when given in conjuction with methotrexate and is strongly advised against."
"Miss Brooks is 8-years-old and has is admitted to your ward with an infective exacerbation of cystic fibrosis. Her sputum sample has returned from microbiology and she has been prescribed: Ceftazidime, Tobramycin and Flucloxacillin.
Which of the following organisms are the prescribed antibiotics most likely to be covering?
",Haemophilus and staphylococcus aureus,Haemophilus and streptococcus pneumoniae,Pseudomonas and streptococcus pneumoniae,Staphylococcus aureus and pseudomonas,Streptococcus and staphylococcus aureus,D,"Tobramycin is active pseudomonas and flucloxacillin is commonly used for staphylococcal infections.
"
"Mrs Banton is a 49-year-old female who has been admitted to your ward with an infection. She is prescribed antibiotics.

Which of the following antibiotics should Mrs Banton be told may colour the urine orange-red?", Amoxicillin,"Ciprofloxacin
",Metronidazole,Oxytetracycline,"Rifampicin
",E,Rifampicin colours body fluids orange/red.
"84 year old Mr Hanning has been in hospital for 3 weeks for the treatment of severe community acquired pneumonia and has developed a Clostridium Difficile infection. He has no known drug allergies.

Which is the single most appropriate antibiotic for a Clostridium Difficile infection?
", Co-amoxiclav tablets,"Co-trimoxazole tablets
",Doxycycline capsules,Erythromycin tablets,Vancomycin capsules,E,Oral metronidazole or oral vancomycin is used for clostridium difficile infections.
"68 year old Mrs Reed is in hospital with an infective COPD exacerbation. She has been prescribed nebulised medication for symptom relief. Mrs Reed read online that a certain nebulised medication can cause acute angle-closure glaucoma if the patient's eyes are not protected.

Which ONE of the following medications is she referring to?
 ",Budesonide,Ipatropium,"Salbutamol
","Fluticasone
",Terbutaline,B,"BNF Caution: Acute angle-closure glaucoma incidence has been reported with nebulised ipratropium, particularly when given alongside nebulised salbutamol (and possibly other beta-2 agonists); care should be taken to protect the patient’s eyes from nebulised drug or from drug powder."
"A 70 year old male is currently suffering from persistent breathlessness due to his COPD. He has been previously prescribed a salbutamol inhaler but it recently has not been controlling his symptoms. His FEV1 is 53%.

Which ONE of the following is the most appropriate treatment option?","Short-acting muscarinic antagonist
","Domiciliary oxygen
","Long acting beta2 agonist plus inhaled corticosteroid
","Long acting muscarinic agonist
","Long acting muscarinic antagonist plus long acting beta2 agonist plus inhaled corticosteroid
",D,"When the patient's FEV1 is greater than 50%, the next step is to add a LAMA or a LABA alone.
"
"64-year-old male Mr Harve has been admitted to hospital with persistent breathlessness from an acute severe exacerbation of his COPD. He has been started on a slow intravenous injection of aminophylline followed by a maintenance dose via intravenous infusion.

Which of the following is the most appropriate plasma-drug concentration for satisfactory bronchodilation?",10-20 mcg/L,10-20 mg/L,55-110 mcg/L,20-30 mg/L,15-20 mg/L,B,"A plasma-theophylline concentration of 10-20mg/litre (55-110mcg/L) is required for satisfactory bronchodilation, however, a lower plasma-theophylline concentration of 5-15mg/litre may also be effective. Adverse effects can occur within the range 10-20mg/litre and both the frequency and severity of effects increase at concentrations above 20mg/litre."
"55-year-old Ms Chow comes into A&E after mistakenly taking too many theophylline tablets. Tests show a peak theophylline serum concentration of 60mg/L. The half-life for theophylline is 8 hours.

How long will it take for the serum concentration to reach 7.5mg/L if they take no further doses?
",16 hours,24 hours ,32 hours,40 hours,48 hours,B,"After 8 hours, the level will be 30mg, a further 8 hours later 15mg and a further 8 hours later 7.5mg."
"A patient asks you for some help on how to correctly use his inhaler. You check his medication locker and find Symbicort® (Budesonide/Formoterol).
Which of the following instructions would you give regarding Symbicort® (Budesonide/Formoterol)?",Inhale slowly and gently,Inhale slowly and deeply,Inhale quickly and deeply, Inhale quickly and shallowly,"Inhale slowly and shallowly
",C,Symbicort® (budesonide/formoterol) is a dry powder inhaler and so he should inhale quickly and deeply to ensure adequate delivery to the lungs.
"During pregnancy, can oral and inhaled corticosteroids for asthma management be used be used as normal?",No,Yes,Only SABAs,All except SABAs,All except steriods,B," SABAs, LABAs, oral and inhaled corticosteroids, sodium Cromoglicate and nedocromil sodium, and oral and intravenous theophylline (with appropriate monitoring) can be used as normal during pregnancy."
Which of the following statements about Qvar and Clenil Modulite CFC Free is correct?,"They are interchangeable beclometasone inhalers
","Clenil is TWICE as potent than Qvar
","Both inhalers have the same amount of particles
",Does not need to be prescribed by brand name,Qvar has extra fine particles,E,Qvar is TWICE as potent as Clenil (CFC containing inhalers) and Qvar has extra fine particles compared to Clenil
Whichof these medications can interact and cause a risk of hypokalaemia when taking theophylline?,Montelukast,Bumetanide,Warfarin,Rifampicin,Metoclopramide,B,"Taking theophylline with a loop diuretic (bumetanide, furosemide) increases the risk of hypokalaemia. Other drugs that increase this risk wehn taken with theophylline are corticosteroids, thiazide diuretics and B2-agonists.
"
"From the options below, what drug is most likely to possess both opioid agonist and antagonist properties, demonstrating effective sublingual analgesia for 6-8 hours, with only partial reversal by naloxone hydrochloride?",Tramadol," Pethidine
",Dipipanone hydrochloride," Gabapentin
","Buprenorphine
",E,"Buprenorphine exhibits characteristics of both an opioid agonist and antagonist. When administered sublingually, it functions as an effective analgesic for a duration of 6-8 hours, with its effects only partially reversible by naloxone hydrochloride."
"This antiepileptic  has an increased risk of cleft palate if taken in the first trimester of pregnancy.
Which drug is this most likely to be?







",Topiramate,Carbamazepine,Phenobarbital,Tolfenamic acid,Gabapentin,A,"Topiramate has an increased risk of cleft palate if taken in the first trimester.
"
"Which of the following drugs is associated with impulse control disorders, including pathological gambling, hypersexuality and binge eating?

", Varenicline,"Selegiline
","Apomorphine
",Promethazine,"Rasagiline
",C,"Dopamine-receptor agonists are associated with impulse control disorders, including pathological gambling, binge eating, and hypersexuality. Patients and carers should be informed about the risk of impulse control disorders and how to seek help. If pateints develop an impulse control disorder, then the dopamine-receptor agonist or levodopa should be withdrawn or the dose reduced until tolerated."
"After the ingestion of alcohol this drug can cause an extremely unpleasant systemic reaction because it causes the accumulation of acetaldehyde in the body. Within 10 minutes of ingesting alcohol symptoms like face flushing, a throbbing headache and tachycardia can occur
Which of the following is this drug most likely to be?",Disulfarim,Acamprosate calcium,Tetrabenazine,Rasagiline,Promethazine,A,"Disulfiram inhibits the acetaldehyde dehydrogenase enzyme, meaning patients get “hangover” side effects immediately after alcohol is consumed. Even small amounts of disulfiram with alcohol can cause flushing, sweating, palpitation, throbbing in head and neck, throbbing headache, nausea, copious vomiting, hyperventilation, dyspnoea,tachycardia and confusion. It can be used to treat alcohol dependence."
"This drug is administered 30-60 minutes before dental procedures for conscious sedation.
Which of the following is the drug most likely to be?
",Lorazepam,Promethazine,Temazepam,Methadone,Carbamazepine,C,"BNF monograph for Temazepam: Conscious sedation for dental procedures, by mouth, 15-30mg, to be administered 30-60 minutes before procedure.
"
"This drug is a potent dopamine-receptor agonist. It has indications in dvanced Parkinson’s disease for patients experiencing ‘off’ periods. The patient must be educated on how to self-administer the medicine by subcutaneous injection at the first sign of an ‘off’ episode.
From this description, which of the following is the drug most likely to be?",Tetrabenazine,Selegiline,Co-careldopa,Apomorphine,Bromocriptine,D,Apomorphine is a potent dopamine-receptor agonist indicated in advanced Parkinson’s disease for patients experiencing ‘off’ periods. The patient must be taught to self-administer the medicine by subcutaneous injection at the first sign of an ‘off’ episode.
"Mr Slateman has a diagnosis of moderate dementia associated with Parkinson’s disease. The consultant starts him on a medicine licensed as a twice daily dose by mouth.
Which of the following is the drug most likely to be?","Agomelatine
","Memantine
",Rivastigmine,Galantamine,Donepezil,C,Rivastigmine is the only licensed acetylcholinesterase inhibitor for moderate dementia associated with Parkinson’s disease. Other acetylcholinesterase inhibitors not licensed for this indication.
"Select the most  likely drug based on this description: Miss Adams is on a medium secure ward at a hospital specialising in mental health being trialed with a first-generation antipsychotic. It is only effective for the positive symptoms and has anticholinergic side effects.
",Lithium,Chlorpromazine,Valproic acid,Lofexidine,Aripiprazole,B,Chlorpromazine is the only first-generation antipsychotic in this list.
"Mrs Taylor has received a prescription for propranolol 160mg LA capsules (1 ON) for migraine prophylaxis. When dispensing the prescription your PMR system notifies you that she is has been taking amiodarone regularly for the last 8 months.
What is the most appropriate course of action for you to take?
",Contact the prescriber and recommend to reduce the strength of propranolol,Contact the prescriber and recommend to change the amiodarone,Contact the prescriber and recommend to change to an alternative migraine prophylaxis ,"Dispense the prescription and counsel the patient on the possible side effects of amiodarone
","Dispense the prescription and counsel the patient on the use of the LA formulation i.e. swallow whole and do not chew/rush
",C,Change propranolol to an alternative as amiodarone is predicted to increase the risk of cardiovascular side effects when given with propranolol. Manufacturer advises use with caution or avoid.
"A 35-year-old presents to your pharmacy complaining about pain in his upper arm and shoulder after moving heavy items at home. He asks for some pain relief as he has not yet taking anything. He is on the following:
▪ Ramipril 10mg
▪ Amlodipine 5mg
Which of the following OTC analgesics would be most appropriate to recommend?",Ibuprofen tablets,"Naproxen tablets
","Co-codamol tablets
",Paracetamol effervescent tablets,Paracetamol caplets,E,Paracetamol is first line OTC for pain. NSAIDS are cautioned in hypertension. A less common side effects of NSAIDS can be raised blood pressure.
"Mr Kanev needs a 1-week course of H. Pylori eradication therapy. He has a penicillin allergy (urticarial rash). His other medications include:
Clopidogrel 75mg once a day
Aspirin 75mg once a day
Bisoprolol 2.5mg once a day
Ramipril 5mg once a day
Which of the following regimes is most appropriate for Mr Kanev?
","Esomeprazole 20mg twice a day, Clarithromycin 250mg twice a day, Metronidazole 400mg twice a day","Lansoprazole 30mg twice a day, Clarithromycin 250mg twice a day, Metronidazole 400mg twice a day","Omeprazole 20mg twice a day, Clarithromycin 250mg twice a day, Metronidazole 400mg twice a day","Pantoprazole 40mg twice a day, Amoxicillin 1g twice a day, Clarithromycin 500mg twice a day","Omeprazole 20mg four times a day, Clarithromycin 1g twice a day, metronidazole 800 mg twice a day",B,"Esomeprazole and omeprazole both reduce the efficacy of Clopidogrel. The patient is allergic to penicillin, so can’t have amoxicillin."
